Titulo,Financiador,Alcance,Descripcion,FechaDeApertura,FechaDeCierre,DuracionEnMeses,Beneficios,Requisitos,MontoMinimo,MontoMaximo,Estado,TipoDeBeneficio,TipoDePerfil,EnlaceDelDetalle,EnlaceDeLaFoto
Programa de Apoyo a las Orquestas Profesionales Doctas,"Ministerio de las Culturas, las Artes y el Patrimonio",Nacional,"Esta convocatoria tiene por objetivo el financiamiento parcial a proyectos con el fin de apoyar el desarrollo de orquestas profesionales doctas, su funcionamiento, gestión de temporadas oficiales y de extensión, que releve la intención de fomentar y difundir obras nacionales, idealmente desde 1950 en adelante y estrenos, con el fin de crear un círculo virtuoso para la cadena de valor de la música nacional, en el entendido que se trata de faros irradiadores del movimiento artístico musical y cultural en su ámbito de acción y motores de una formación profesional de excelencia para jóvenes músicos.",nan,nan,nan,Capacitación,Tener RUT chileno,Entre $125.000.000 y $145.000.000,Entre $125.000.000 y $145.000.000,En evaluación,Capacitación,Persona Jurídica,https://www.fondos.gob.cl/ficha/mincap/fondomusicaorq/,https://www.fondos.gob.cl/ficha/mincap/fondomusicaorq/
"FONDO CONCURSABLE PARA LAS RESIDENCIAS FAMILIARES DE NIÑOS, NIÑAS, ADOLESCENTES DEL GOBIERNO REGIONAL DE ATACAMA",Gobierno Regional de Atacama,Regional,"Este Fondo, a través de sus Bases Generales y especiales, regula el proceso de concursabilidad y de asignación de recursos para subvencionar las actividades mencionadas en la Glosa 07 de la Ley N°21.722 del Sector Público del año 2025, para que postulen instituciones u organizaciones funcionales privadas sin fines de lucro que administuren Residencias Familiares para Niños, Niñas y Adolescentes que estén reconocidas como colaboradores acreditados por el ""Servicio Nacional de Protección Especializada a la Niñez y Adolescencia"", con la finalidad de entregar subsidios para el funcionamiento de estos establecimientos.",nan,nan,0,Subsidios para el funcionamiento de Residencias Familiares,"Postulación a través de Bases Generales y especiales, reconocimiento por el ""Servicio Nacional de Protección Especializada a la Niñez y Adolescencia""",0,0,En evaluación,Subsidios,Instituciones privadas sin fines de lucro,https://www.fondos.gob.cl/ficha/goreatacama/fndr-2025-residencia-familiar/,https://www.fondos.gob.cl/ficha/goreatacama/fndr-2025-residencia-familiar/
PAMMA INICIA PRODUCTIVO 2025,Ministerio de Minería,Nacional,Entidad: Ministerio de Minería,nan,nan,0,Capacitación,Tener RUT chileno,0,0,En evaluación,Capacitación,Personas Naturales y Jurídicas,https://www.fondos.gob.cl/ficha/minmineria/pamma-inicia-prod-2025/,nan
FONDART REGIONAL 2026: Difusión/ Culturas de los Pueblos Originarios/ Actividades Formativas/ Creación Artística,"Ministerio de las Culturas, las Artes y el Patrimonio",Nacional,"El Fondo Nacional de Desarrollo Cultural y las Artes, FONDART, fue creado el año 1992 con la aprobación de la ley Nº 19.891. Su objetivo es apoyar el desarrollo de las artes, la difusión de la cultura y la conservación del patrimonio cultural de Chile. Comprende a las siguientes disciplinas: artes de la visualidad (artes visuales, fotografía y nuevos medios), artesanía, diseño y arquitectura.",nan,nan,0,Capacitación,Tener RUT chileno,0,0,En evaluación,Otros incentivos,Personas Naturales y Jurídicas,https://www.fondos.gob.cl/ficha/mincap/fondartregional/,https://www.fondos.gob.cl/ficha/mincap/fondartregional/
Fondart Nacional 2026,"Ministerio de las Culturas, las Artes y el Patrimonio",Nacional,"El Fondo Nacional de Desarrollo Cultural y las Artes, FONDART, fue creado el año 1992 con la aprobación de la ley Nº 19.891. Su objetivo es apoyar el desarrollo de las artes, la difusión de la cultura y la conservación del patrimonio cultural de Chile. Comprende a las siguientes disciplinas: artes de la visualidad (artes visuales, fotografía y nuevos medios), artesanía, diseño y arquitectura.",nan,nan,0,Investigación/Infraestructura y acceso cultural universal,Tener RUT chileno,750000,750000,En evaluación,Otros incentivos,Personas Naturales y Jurídicas,https://www.fondos.gob.cl/ficha/mincap/fondartnacional/,https://www.fondos.gob.cl/ficha/mincap/fondartnacional/
"CONVOCATORIA SUBSIDIOS PARA FUNCIONAMIENTO DE ELEAM Y RESIDENCIAS FAMILIARES NNAJ DEL SERVICIO NACIONAL DE PROTECCIÓN ESPECIALIZADA A LA NIÑEZ Y ADOLESCENCIA, TEATROS MUNICIPALES Y/O MONUMENTOS HISTÓRICOS CON ATENCIÓN A PÚBLICO - 2° LLAMADO",Gobierno Regional de Antofagasta,Nacional,"La presente convocatoria está referida a la entrega de Subsidios para el funcionamiento de: Establecimientos de larga estadía para adultos mayores; Residencias familiares para niños, niñas, adolescentes y/o jóvenes del Servicio Nacional de Protección Especializada a la Niñez y Adolescencia; Teatros municipales y/o monumentos históricos con atención a público que operen en la región.",2025-08-18,2025-08-27,2025,Participación Ciudadana,Tener RUT chileno,0,0,En evaluación,Participación Ciudadana,Persona Jurídica,https://www.fondos.gob.cl/ficha/goreantofagasta/subsidioeleam/,https://www.fondos.gob.cl/ficha/goreantofagasta/subsidioeleam/foto
Fondart Regional 2026: Culturas Regionales,"Ministerio de las Culturas, las Artes y el Patrimonio",Nacional,"El Fondo Nacional de Desarrollo Cultural y las Artes, FONDART, fue creado el año 1992 con la aprobación de la ley Nº 19.891. Su objetivo es apoyar el desarrollo de las artes, la difusión de la cultura y la conservación del patrimonio cultural de Chile. Comprende a las siguientes disciplinas: artes de la visualidad (artes visuales, fotografía y nuevos medios), artesanía, diseño y arquitectura.",nan,nan,0,Capacitación,Tener RUT chileno,0,0,En evaluación,Otros incentivos,Personas Naturales y Jurídicas,https://www.fondos.gob.cl/ficha/mincap/fondartregional-culturas/,https://www.fondos.gob.cl/ficha/mincap/fondartregional-culturas/
PAMMA Asistencia Técnica 2025,Ministerio de Minería,Regional,"Este instrumento entregará asistencia técnica a las y los productores de la pequeña minería de las regiones de Antofagasta, Atacama y Coquimbo. Este servicio será entregado por la Universidad de Atacama, incluyendo dos líneas de trabajo especificas: Regularización ante Sernageomin y Asesoría técnica productiva.",nan,nan,0,Capacitación y Asesoría técnica productiva,"Tener RUT chileno, ser persona natural o jurídica, estar insrito en un programa x",0,0,En evaluación,Formación y capacitación,Personas Naturales y Jurídicas,https://www.fondos.gob.cl/ficha/minmineria/pamma-at-2025/,https://www.fondos.gob.cl/ficha/minmineria/pamma-at-2025/
Convocatoria para exhibiciones e intervenciones artísticas Galería Gabriela Mistral 2026,"Ministerio de las Culturas, las Artes y el Patrimonio",Nacional,"Galería Gabriela Mistral tiene por objeto promover y dar visibilidad a la creación y producción nacional en artes visuales contemporáneas. Es en este contexto, que abre su Convocatoria para Exhibiciones e Intervenciones Artísticas 2026, dirigida a artistas, curadores/as, gestores/as, u otros agentes del arte contemporáneo que buscan ser parte de la programación de este espacio para el año 2026, con proyectos inéditos, individuales o colectivos. Pueden participar personas con nacionalidad chilena, o extranjeros con residencia definitiva en Chile, que cuenten con al menos 5 años de experiencia.",nan,nan,0,Arte y cultura,"Tener RUT chileno, ser persona natural o jurídica, estar insrito en un programa x",15000000,15000000,En evaluación,Arte y cultura,Artista,https://www.fondos.gob.cl/ficha/mincap/galeria-gabriela-mistral/,https://www.fondos.gob.cl/ficha/mincap/galeria-gabriela-mistral/
,,,,,,,,,,,,,,,
"FONDO DEL PATRIMONIO CULTURAL, SERPAT (CONCURSO REGIONAL)",SERPAT,Regional,"Para beneficiar el patrimonio cultural en todas sus formas, la Ley 21.045 dispone recursos para el financiamiento ""total o parcial de proyectos, programas, actividades y medidas de identificación, registro, investigación, difusión, valoración, protección, rescate, preservación, conservación, adquisición y salvaguardia del patrimonio, en sus diversas modalidades y manifestaciones, y de educación en todos los ámbitos del patrimonio cultural, material e inmaterial, incluidas las manifestaciones de las culturas y patrimonio de los pueblos indígenas"", la gestión de este proceso se realiza a través del Fondo del Patrimonio Cultural.",nan,nan,0,"Total o parcial de proyectos, programas, actividades y medidas de identificación, registro, investigación, difusión, valoración, protección, rescate, preservación, conservación, adquisición y salvaguardia del patrimonio, en sus diversas modalidades y manifestaciones, y de educación en todos los ámbitos del patrimonio cultural, material e inmaterial, incluidas las manifestaciones de las culturas y patrimonio de los pueblos indígenas",Tener RUT chileno,1000000,8500000,En evaluación,"Total o parcial de proyectos, programas, actividades y medidas de identificación, registro, investigación, difusión, valoración, protección, rescate, preservación, conservación, adquisición y salvaguardia del patrimonio, en sus diversas modalidades y manifestaciones, y de educación en todos los ámbitos del patrimonio cultural, material e inmaterial, incluidas las manifestaciones de las culturas y patrimonio de los pueblos indígenas",,https://www.fondos.gob.cl/ficha/serpat/serpat-regional/,nan
"PROYECTOS CIUDANOS CON ENFOQUE DE TRANSICIÓN SOCIOECOLÓGICA JUSTA, EN LA COMUNA DE TOCOPILLA",Ministerio del Medio Ambiente,Comunal,Entidad: Ministerio del Medio Ambiente,nan,nan,0,"Innovación en energías renovables y eficiencia energética y Adaptación al Cambio Climático, incorporando la educación ambiental como un proceso permanente.",Tener RUT chileno,1000000,1000000,En evaluación,Medio Ambiente,Ciudadano,https://www.fondos.gob.cl/ficha/mma/fpatocopilla-2025/,https://www.fondos.gob.cl/ficha/mma/fpatocopilla-2025/
"PROYECTOS CIUDANOS CON ENFOQUE DE TRANSICIÓN SOCIOECOLÓGICA JUSTA, EN LA COMUNA DE MEJILLONES",Ministerio del Medio Ambiente,Comunal,Entidad: Ministerio del Medio Ambiente,nan,nan,0,"Innovación en energías renovables y eficiencia energética y Adaptación al Cambio Climático, incorporando la educación ambiental como un proceso permanente.",Tener RUT chileno,1000000,1000000,En evaluación,Medio Ambiente,Ciudadano,https://www.fondos.gob.cl/ficha/mma/fpamejillones-2025/,https://www.fondos.gob.cl/ficha/mma/fpamejillones-2025/
Proyectos Culturales y Deportivos a través de la participación y organización de Actividades,Gobierno Regional de Atacama,Regional,"Este Fondo, a través de las Bases Generales, regula el proceso de concursabilidad y de asignación de recursos para subvencionar las actividades mencionadas en la Glosa 07 de la Ley N°21.722 del Sector Público año 2025, para que postulen instituciones privadas sin fines de lucro a proyectos culturares y deportivos con actividades de vinculación con la comunidad Atacameña.",nan,nan,0,Participación Ciudadana,Tener RUT chileno,0,0,En evaluación,Participación Ciudadana,Instituciones Privadas,https://www.fondos.gob.cl/ficha/goreatacama/proyectos-culturales-deportivos-atacama/,nan
CONCURSO EVALUADORES(AS) EXTERNOS(AS) ESTUDIOS DE INVESTIGACIÓN E INNOVACIÓN EN SEGURIDAD Y SALUD EN EL TRABAJO,Superintendencia de Seguridad Social,Nacional,"La Superintendencia de Seguridad Social invita a profesionales y académicos(as) con experiencia en materias vinculadas a la Seguridad y Salud en el Trabajo a participar en el proceso de selección de evaluadores(as) externos(as) para la revisión de los Proyectos de Estudios de Investigación e Innovación en Seguridad y Salud en el Trabajo. El objetivo de este concurso es fortalecer el análisis y validación de iniciativas que aporten evidencia, conocimiento y propuestas innovadoras que contribuyan al perfeccionamiento del Seguro Social contra Riesgos de Accidentes del Trabajo y Enfermedades Profesionales, conforme a lo establecido en la Ley N°16.744.",nan,nan,0,Investigación y desarrollo en seguridad y salud en el trabajo,"Tener RUT chileno, ser persona natural o jurídica, estar insrito en un programa x",0,0,En evaluación,Investigación y desarrollo,Investigación y desarrollo,https://www.fondos.gob.cl/ficha/suseso/cuesoevaluadoresenseguridadysalud/,nan
Fondo de las Artes Escénicas: Convocatoria XXII Muestra Nacional de Dramaturgia,"Ministerio de las Culturas, las Artes y el Patrimonio",Nacional,"La presente convocatoria tiene por objetivo fomentar la creación de obras dramáticas y potenciar la visibilización de la dramaturgia nacional, a través de la selección de cinco (5) obras dramáticas, tres (3) en la Categoría Autor Emergente y dos (2) en la Categoría Autor de Trayectoria, las cuales serán montadas y estrenadas en la versión XXII de la Muestra Nacional de Dramaturgia 2025.",nan,nan,0,Capacitación,Tener RUT chileno,3000000,5000000,En evaluación,Incentivo mujeres,Autor Emergente,https://www.fondos.gob.cl/ficha/mincap/convocatoria-dramaturgia/,https://www.fondos.gob.cl/ficha/mincap/convocatoria-dramaturgia/2
Fondo de las Artes Escénicas: Convocatoria XI Encuentros Coreográficos Nacional,"Ministerio de las Culturas, las Artes y el Patrimonio",Nacional,"La presente convocatoria tiene por objetivo promover, visibilizar y reconocer la creación coreográfica nacional, a través de la selección de cinco (5) proyectos de obras coreográficas inéditas presentadas por coreógrafos y/o coreógrafas, los cuales serán premiados con un monto único de $4.000.000.- cada uno. Los proyectos de creación presentados pueden contemplar de 1 a 3 coreógrafos y/o coreógrafas como número máximo de integrantes.",nan,nan,0,Capacitación,Tener RUT chileno,4000000,4000000,En evaluación,Capacitación,Persona Natural,https://www.fondos.gob.cl/ficha/mincap/encuentroscoreograficos/,https://www.fondos.gob.cl/ficha/mincap/encuentroscoreograficos/
Desafíos Públicos Concurso Regular,SUBCTCI,Nacional,"Los Desafíos Públicos, son concursos de innovación abierta que tienen por objetivo encontrar soluciones innovadoras a problemas públicos complejos, que requieran investigación y desarrollo y/o desarrollo tecnológico, a fin de generar un impacto positivo en el desarrollo económico, ambiental y social a nivel país. El instrumento busca conectar a quienes demandan o necesitan esta innovación -como organismos públicos o empresas públicas- con posibles oferentes desde las Startups, los centros de investigación, universidades y grupos de emprendedores (entre otros). Los Desafíos Públicos, son una herramienta liderada por el Ministerio de Ciencia, Tecnología, Conocimiento e Innovación, en conjunto con la Agencia Nacional de Investigación y Desarrollo (ANID) y el Laboratorio de Gobierno (LabGob), que busca resolver problemas país a través de la innovación, ofreciendo una recompensa a quien pueda entregar la solución más efectiva al desafío propuesto, a través de la investigación científica y el emprendimiento de base científico-tecnológico.",nan,nan,nan,Capacitación,Tener RUT chileno,nan,nan,nan,nan,nan,https://www.fondos.gob.cl/ficha/subctci/minciencia-desafiospublicos/,nan
CONVOCATORIA ESTUDIOS DE INVESTIGACIÓN E INNOVACIÓN EN SEGURIDAD Y SALUD EN EL TRABAJO,Superintendencia de Seguridad Social,Nacional,"Los proyectos financiados con recursos del Seguro Social de la Ley N°16.744 tienen como objetivo generar conocimiento científico y soluciones innovadoras que contribuyan, en primer lugar, a la seguridad y salud en el trabajo, incluyendo su promoción y la prevención de los accidentes del trabajo y las enfermedades profesionales; en segundo lugar, a mejorar la calidad, eficiencia y oportunidad de las prestaciones médicas y económicas, incluyendo la rehabilitación y el reintegro laboral que contempla la Ley N°16; así como los efectos sociales y económicos relacionados con la incapacidad permanente. Los proyectos adjudicados son financiados con los recursos de la Ley N°16.744 destinados a actividades de prevención de riesgos laborales.",nan,nan,0,Investigación y desarrollo,Tener RUT chileno,0,0,En evaluación,Investigación y desarrollo,Investigación y desarrollo,https://www.fondos.gob.cl/ficha/suseso/investigacioneinnovacion/,https://www.fondos.gob.cl/ficha/suseso/investigacioneinnovacion/
CONCURSO NACIONAL LABORATORIO CIENCIA PÚBLICA PARA EL DISEÑO Y DESARROLLO DE PROYECTOS COMUNITARIOS PARA COMUNICAR CONOCIMIENTOS LOCALES 2025-2026,SUBCTCI,Nacional,"La convocatoria tiene por objeto entregar financiamiento, expandir capacidades y generar procesos de aprendizaje a través de metodologías y herramientas para el diseño y desarrollo de proyectos comunitarios inéditos de comunicación de conocimientos locales o indígenas, en colaboración con instituciones y/o especialistas vinculados a la ciencia, tecnología, conocimiento o innovación (CTCI) que trabajan en el territorio en que las comunidades están insertas. Dichos proyectos no pueden estar dirigidos a escolares, insertarse en actividades propias de las comunidades educativas o estar alineados al currículo. Se entenderá por Laboratorio Ciencia Pública a la metodología utilizada en este concurso para generar un espacio de aprendizaje, fortalecimiento de capacidades e interacción de integrantes de organizaciones sociales que lideran proyectos para la comunicación de conocimientos locales o indígenas. El laboratorio consta de dos etapas: la etapa 1 consistente en un programa de mentoría personalizado de máximo 10 semanas de duración, para el diseño de los proyectos; y la etapa 2 consistente en un programa de acompañamiento de máximo cuatro meses, para el desarrollo e implementación de dichos proyectos.",nan,nan,nan,Capacitación,Tener RUT chileno,Hasta $8.000.000,Hasta $8.000.000,En evaluación,Capacitación,Organizaciones,https://www.fondos.gob.cl/ficha/subctci/laboratoriocienciaspublicas/,https://www.fondos.gob.cl/ficha/subctci/laboratoriocienciaspublicas/foto
"CONCURSO NACIONAL DE CIENCIA PÚBLICA 2026 PARA LA CONTINUIDAD DE EVENTOS PÚBLICOS DE CIENCIA, TECNOLOGÍA, CONOCIMIENTOS E INNOVACIÓN","Ministerio de Ciencia, Tecnología, Conocimiento e Innovación",Nacional,"La convocatoria tiene el objetivo de promover la continuidad de eventos públicos, de acceso abierto y gratuito, que fomenten la apropiación de la ciencia y los conocimientos en el territorio nacional, a través de su financiamiento total o parcial.",nan,nan,0,"Financiamiento total o parcial para eventos públicos de ciencia, tecnología, conocimientos e innovación.","Tener RUT chileno, ser persona jurídica, estar insrito en un programa X, etc.",0,0,En evaluación,Financiamiento total o parcial,Persona Jurídica,https://www.fondos.gob.cl/ficha/minciencia/cienciapublica-eventos-publicos/,https://www.fondos.gob.cl/ficha/minciencia/cienciapublica-eventos-publicos/
Fondo de las Artes Escénicas: Encuentro de prácticas creativas disciplinares del títere y la marioneta 2025,"Ministerio de las Culturas, las Artes y el Patrimonio",Nacional,"El Ministerio de las Culturas, las Artes y el Patrimonio, a través de la Secretaría Ejecutiva de Artes Escénicas, invita a participar en la convocatoria Encuentro de prácticas creativas disciplinares del títere y la marioneta, fortalecer las capacidades creativas y contribuir a la profesionalización de la disciplina del títere y la marioneta, mediante la entrega de herramientas teóricas y prácticas en las áreas de dramaturgia, diseño escénico y dirección. El encuentro se llevará a cabo el mes de noviembre de 2025 y consistirá en el desarrollo de talleres presenciales impartidos por profesionales de destacada trayectoria en la disciplina del títere y la marioneta.",nan,nan,nan,Capacitación,Tener RUT chileno,0,0,En evaluación,Otros incentivos,Persona Natural,https://www.fondos.gob.cl/ficha/mincap/titereymarioneta/,https://www.fondos.gob.cl/ficha/mincap/titereymarioneta/
Fondo de Protección Ambiental: Puesta en valor de los Ecosistemas Altoandinos – Humedales y Criósfera,Ministerio del Medio Ambiente,Nacional,"A través de este concurso, el Ministerio del Medio Ambiente, por medio del Fondo de Protección Ambiental, busca promover la puesta en valor y gestión sustentable de los ecosistemas altoandinos de la comuna de Alto del Carmen, Región de Atacama, con especial énfasis en los humedales y la criósfera. Para ello, se apoyarán proyectos ejecutados por universidades, centros de investigación, fundaciones, corporaciones y ONG, orientados a generar conocimiento científico sobre estos ecosistemas, acercarlos a la comunidad mediante infraestructura educativa itinerante y fortalecer su protección a través de actividades de educación ambiental.",2025-08-05,2025-09-17,2025,Capacitación,Tener RUT chileno,7000000,7000000,En evaluación,Medio Ambiente,Persona Jurídica,https://www.fondos.gob.cl/ficha/mma/fpa-alto-del-carmen-hidrico/,https://www.fondos.gob.cl/ficha/mma/fpa-alto-del-carmen-hidrico/
,,,,,,,,,,,,,,,
Fondo de la Música: Línea de Apoyo a la Circulación de la Música Chilena 2025-2026,"Ministerio de las Culturas, las Artes y el Patrimonio",Nacional,"La Secretaría de Fomento de la Música Nacional a través de la Línea de Apoyo a la Circulación de la Música Chilena 2025 – 2026 invita a los distintos agentes del sector a postular proyectos cuyo objetivo sea contribuir al posicionamiento de músicas/os, mediadoras/es, investigadoras/es y profesionales en los circuitos nacionales o extranjeros, mediante la difusión de su trabajo y el fomento de generación de redes de intercambio en territorio chileno y en el exterior. Este primer llamado es para postulaciones con inicio de ejecución durante diciembre de 2025.",nan,nan,nan,Capacitación,Tener RUT chileno,Hasta $15.000.000,Hasta $15.000.000,En evaluación,Capacitación,Personas Naturales y Jurídicas,https://www.fondos.gob.cl/ficha/mincap/acmch2026/,https://www.fondos.gob.cl/ficha/mincap/acmch2026/
"FONDO DEL PATRIMONIO CULTURAL, SERPAT (CONCURSO NACIONAL)",SERPAT,Nacional,"Para beneficiar el patrimonio cultural en todas sus formas, la Ley 21.045 dispone recursos para el financiamiento ""total o parcial de proyectos, programas, actividades y medidas de identificación, registro, investigación, difusión, valoración, protección, rescate, preservación, conservación, adquisición y salvaguardia del patrimonio, en sus diversas modalidades y manifestaciones, y de educación en todos los ámbitos del patrimonio cultural, material e inmaterial, incluidas las manifestaciones de las culturas y patrimonio de los pueblos indígenas"", la gestión de este proceso se realiza a través del Fondo del Patrimonio Cultural.",nan,nan,0,Capacitación,Tener RUT chileno,1000000,8500000,En evaluación,Capacitación,Personas Naturales y Jurídicas,https://www.fondos.gob.cl/ficha/serpat/patrimonio2025/,https://www.fondos.gob.cl/ficha/serpat/patrimonio2025/
MI TAXI ELÉCTRICO ATACAMA,Ministerio de Energía,Regional,"Este fondo cofinancia la inversión para el reemplazo de un vehículo con motor de combustión interna, que sea taxi en todas sus modalidades, según DS-212 de MTT a un vehículo eléctrico. El vehículo a reemplazar debe estar inscrito en el registro nacional de transporte de pasajeros en la región y el propietario debe contar con un lugar o estacionamiento bajo su control y que pueda ser instalado un cargador para el vehículo eléctrico. Este Fondo se encontrará abierto hasta completar los cupos (158).",nan,nan,158,Capacitacion,Tener RUT chileno,0,0,En evaluación,Otros incentivos,Medio Ambiente,https://www.fondos.gob.cl/ficha/minenergia/mte-atacama/,https://www.fondos.gob.cl/ficha/minenergia/mte-atacama/
MI TAXI ELÉCTRICO O'HIGGINS,Ministerio de Energía,Regional,"Este fondo cofinancia la inversión para el reemplazo de un vehículo con motor de combustión interna, que sea taxi en todas sus modalidades, según DS-212 de MTT a un vehículo eléctrico. El vehículo a reemplazar debe estar inscrito en el registro nacional de transporte de pasajeros en la región y el propietario debe contar con un lugar o estacionamiento bajo su control y que pueda ser instalado un cargador para el vehículo eléctrico. Este Fondo se encontrará abierto hasta completar los cupos (152).",nan,nan,0,Capacitacion,Tener RUT chileno,0,0,Adjudicado,Otros incentivos,Persona,https://www.fondos.gob.cl/ficha/minenergia/mte-ohiggins/,https://www.fondos.gob.cl/ficha/minenergia/mte-ohiggins/
MI TAXI ELÉCTRICO BÍOBIO,Ministerio de Energía,Regional,"Este fondo cofinancia la inversión para el reemplazo de un vehículo con motor de combustión interna, que sea taxi en todas sus modalidades, según DS-212 de MTT a un vehículo eléctrico. El vehículo a reemplazar debe estar inscrito en el registro nacional de transporte de pasajeros en la región y el propietario debe contar con un lugar o estacionamiento bajo su control y que pueda ser instalado un cargador para el vehículo eléctrico. Este Fondo se encontrará abierto hasta completar los cupos (299).",nan,nan,299,Capacitación,Tener RUT chileno,0,0,En evaluación,Otros incentivos,Persona,https://www.fondos.gob.cl/ficha/minenergia/mte-biobio/,https://www.fondos.gob.cl/ficha/minenergia/mte-biobio/
MI TAXI ELÉCTRICO ANTOFAGASTA,Ministerio de Energía,Regional,"Este fondo cofinancia la inversión para el reemplazo de un vehículo con motor de combustión interna, que sea taxi en todas sus modalidades, según DS-212 de MTT a un vehículo eléctrico. El vehículo a reemplazar debe estar inscrito en el registro nacional de transporte de pasajeros en la región y el propietario debe contar con un lugar o estacionamiento bajo su control y que pueda ser instalado un cargador para el vehículo eléctrico. Este Fondo se encontrará abierto hasta completar los cupos (59).",nan,nan,0,Capacitacion,Tener RUT chileno,0,0,En evaluación,Otros incentivos,Medio Ambiente,https://www.fondos.gob.cl/ficha/minenergia/mte-antofagasta/,https://www.fondos.gob.cl/ficha/minenergia/mte-antofagasta/
FPA 2026 - PROYECTOS SUSTENTABLES CIUDADANOS (PSC),Ministerio del Medio Ambiente,Nacional,"Uno de los focos del MMA, es promover el trabajo institucional en conjunto con la ciudadanía, apoyando proyectos de carácter comunitario y asociativo, que contribuyan a mejorar la calidad ambiental de su territorio a través de la realización de actividades y experiencias demostrativas replicables que utilicen los recursos disponibles (sociales, culturales, ambientales, económicos, etc.) de manera sustentable, contribuyendo con ello a generar mayor conciencia y valoración de su entorno, a través de la educación ambiental y la participación ciudadana, para resolver una necesidad ambiental.",2025-08-26,2025-10-07,12,Capacitación,Tener RUT chileno,600000,600000,En evaluación,Medio Ambiente,Persona Jurídica,https://www.fondos.gob.cl/ficha/mma/fpa2026-psc/,https://www.fondos.gob.cl/ficha/mma/fpa2026-psc/foto
FPA 2026 - PROYECTOS SUSTENTABLES EN ESTABLECIMIENTOS EDUCACIONALES (PSEE),Ministerio del Medio Ambiente,Nacional,"El presente concurso aspira a ser un aporte en la creación de hábitos y conductas sustentables al interior de los establecimientos educacionales, apoyando y fomentando proyectos que desarrollen e incorporen prácticas ambientales en la gestión de recursos y en el quehacer educativo, logrando que el establecimiento sea reconocido como un espacio de aprendizaje integral para la comunidad educativa, y un referente ambiental para el fortalecimiento de la gestión local.",2025-08-26,2025-10-07,2026,Capacitación,Tener RUT chileno,600000,600000,En evaluación,Medio Ambiente,Persona Jurídica,https://www.fondos.gob.cl/ficha/mma/fpa2026-psee/,https://www.fondos.gob.cl/ficha/mma/fpa2026-psee/foto
FPA 2026 - PROYECTOS SUSTENTABLES PARA PUEBLOS INDÍGENAS (PSPI),Ministerio del Medio Ambiente,Nacional,"Uno de los focos del MMA es promover el trabajo institucional en conjunto con los pueblos indígenas, velando por su adecuado desarrollo social, poniendo énfasis particular en el resguardo de su cultura y cosmovisión. Lo anterior, apoyando proyectos de carácter comunitario y asociativo, que contribuyan a mejorar la calidad ambiental del territorio, a través de la realización de actividades y experiencias demostrativas y replicables que utilicen los recursos disponibles (sociales, culturales, ambientales, económicos, etc.) de manera sustentable, aportando con ello a generar mayor conciencia y valoración de su entorno, a través de la educación ambiental y la participación ciudadana, para resolver una necesidad ambiental.",nan,nan,0,"Promoción del trabajo institucional en conjunto con los pueblos indígenas, velando por su adecuado desarrollo social, poniendo énfasis particular en el resguardo de su cultura y cosmovisión.",Tener RUT chileno,0,0,En evaluación,Medio Ambiente,Persona Jurídica,https://www.fondos.gob.cl/ficha/mma/fpa2026-pspi/,https://www.fondos.gob.cl/ficha/mma/fpa2026-pspi/foto
